command,mean,stddev,median,user,system,min,max
./build/pow-cpp,0.0033385227532097012,0.001989013757658378,0.0033229,0.0028897097004279585,0.00026825392296718974,0.0019360000000000002,0.021567000000000003
./build/pow-rust,0.007984778571428567,0.0037908801275492792,0.0054792,0.007188304421768704,0.0005917534013605442,0.0047853,0.0256551
./build/pow-deno,0.0250439027027027,0.012382244083142327,0.0173495,0.01896433783783783,0.006381378378378378,0.015767,0.06867380000000001
./build/pow-odin,0.28688518461538465,0.05575550086110856,0.3217704,0.28521792307692306,0.0015217692307692306,0.2255281,0.35458500000000004
bc ./bc/pow.bc,1.43679366,0.2539137811700491,1.4305036,1.4366404000000002,0,1.0474948,1.7783143
bun ./js/pow.js,0.22367401428571435,0.07155323412651092,0.27907160000000003,0.21521176190476193,0.014540095238095237,0.1383876,0.3147588
bun ./ts/pow.ts,0.22271343636363639,0.08016967219287195,0.2669915,0.22070818181818186,0.0064245454545454545,0.1399592,0.3389263
deno run ./js/pow.js,0.02882080240000001,0.010831784420074935,0.029435500000000003,0.021112095999999997,0.008122391999999999,0.0163475,0.057964400000000006
deno run ./ts/pow.ts,0.026254198795180726,0.011669550112406826,0.018050700000000003,0.018852180722891562,0.008474180722891562,0.0168465,0.06914250000000001
node ./js/pow.js,0.04591684814814815,0.01748791924143626,0.033274950000000005,0.03846398148148148,0.007985240740740739,0.029335100000000003,0.0993893
tsx ./ts/pow.ts,0.1789046576923077,0.06282322230985721,0.1685172,0.20403815384615387,0.03842369230769231,0.1145565,0.2998459
ts-node ./ts/pow.ts,1.4456355300000001,0.27271768766019666,1.3787566999999998,2.4699368,0.1530133,1.0179574,1.8846666
R -f ./r/pow.r -q,0.22110870000000007,0.08846674306974345,0.16659200000000002,0.20246745454545453,0.019792636363636363,0.1409463,0.378686
