command,mean,stddev,median,user,system,min,max
./build/fact-cpp,0.001614240280021539,0.0015469164731303892,0.0011710000000000002,0.001347732902530964,0.0001804087237479806,0.0010153,0.018494700000000003
./build/fact-rust,0.0013502444558171258,0.0012030629363184362,0.0013084000000000001,0.001099326850904126,0.00015872842033435688,0.0008024000000000001,0.0164491
./build/fact-go,0.0019028341257668743,0.0007897672274745186,0.00197815,0.0019357009202453975,0.0002649041411042944,0.0012645,0.017294800000000003
./build/fact-ghc,0.0021987310534591197,0.001954087668611492,0.0015741500000000003,0.0017271470125786172,0.00036852201257861635,0.0012725,0.013863200000000001
./build/fact-deno,0.025674348148148153,0.01386333235793829,0.016016100000000002,0.018994793650793644,0.007152116402116402,0.0141831,0.0668836
./build/fact-racket,0.16894456562500001,0.11352884143628397,0.1005795,0.14147737500000002,0.027343281250000004,0.0866515,0.4183153
./build/fact-dart.exe,0.007715629426433911,0.0023564999937687073,0.0076292,0.004845433915211971,0.0028247980049875315,0.0051,0.028372
./build/fact-zig,0.004068876190476194,0.002218807881198684,0.0037328,0.003761591836734699,0.00019526122448979588,0.0026211000000000003,0.017299600000000002
bc ./bc/fact.bc,0.009693639498432605,0.005596591407704086,0.008176600000000001,0.009069623824451405,0.0004558526645768026,0.0050805,0.0315176
bun ./js/fact.js,0.017515729523809517,0.008252992519218839,0.01349,0.013454171428571431,0.00945832857142857,0.0104165,0.047647
bun ./ts/fact.ts,0.017173627500000007,0.008107644286658446,0.012485550000000002,0.012632533333333333,0.01003963333333333,0.010063800000000001,0.0418366
deno run ./js/fact.js,0.030161432857142862,0.01681299738362135,0.01915695,0.021602000000000003,0.009193871428571428,0.0152715,0.0676861
deno run ./ts/fact.ts,0.027706397790055255,0.01575337785326604,0.017437900000000003,0.01971455801104973,0.008497464088397794,0.014595100000000001,0.0739067
node ./js/fact.js,0.05148746046511631,0.02908763914649609,0.03171365,0.04514329069767441,0.006769023255813953,0.0257953,0.1091242
tsx ./ts/fact.ts,0.202407868,0.11786349193279601,0.1217431,0.22542711999999998,0.04069068,0.1164474,0.4392108
python3 ./python/fact.py,0.026220777717391307,0.01573207596871271,0.01567415,0.021778451086956526,0.004343173913043478,0.0141671,0.0663941
ruby ./ruby/fact.rb,0.07054043150684929,0.04726883211048997,0.0404351,0.06184046575342467,0.008566068493150685,0.0385215,0.1702114
racket ./racket/fact.rkt,0.21007121999999998,0.1537707198793118,0.11751650000000001,0.1819346,0.0280219,0.0983706,0.4403999
elixir ./elixir/fact.exs,0.669035,0.34653318382014864,0.575084,0.7586274999999999,0.19463139999999998,0.3499975,1.2616685
